"","X","ENS","PreB_shPhf23_1_count","PreB_shPhf23_2_count","PreB_shPhf23_3_count","PreB_shRen_1_count","PreB_shRen_2_count","PreB_shRen_3_count","PreB_shPhf23_1_TPM","PreB_shPhf23_2_TPM","PreB_shPhf23_3_TPM","PreB_shRen_1_TPM","PreB_shRen_2_TPM","PreB_shRen_3_TPM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","cluster"
"20589",20589,"ENSMUSG00000005886",2524,2313,2466,2289,2425,2139,0.642177442,0.599638738,0.622790181,0.571759258,0.616989024,0.63928318,2298.301599,0.067906253,0.057383089,1.183384407,0.236656834,0.648415126,"Ncoa2",17978,"co_binding_RNA"
"19874",19874,"ENSMUSG00000026121",9,5,5,7,5,6,0.006752899,0.003822664,0.003723923,0.00515641,0.00375161,0.005288296,6.385766699,0.051798913,0.664744576,0.077923033,0.937889277,NA,"Sema4c",20353,"co_binding_RNA"
"22225",22225,"ENSMUSG00000026082",831,878,818,737,823,745,0.43482988,0.468124342,0.424868613,0.37860606,0.430643792,0.457921913,787.3039655,0.108298975,0.077511827,1.397192915,0.162355567,0.558621135,"Rev1",56210,"co_binding_RNA"
"14845",14845,"ENSMUSG00000026103",5020,4916,5054,4794,4911,5146,1.191583083,1.18899722,1.190800034,1.117172814,1.165710064,1.434852277,4780.813303,-0.016963077,0.07083419,-0.239475842,0.810736627,0.952159338,"Gls",14660,"co_binding_RNA"
"22760",22760,"ENSMUSG00000025980",18751,19552,21902,18738,18522,17047,41.56443926,44.16081031,48.1908133,40.77767346,41.05682598,44.38766001,17747.94212,0.124037955,0.057050071,2.174194564,0.029690526,0.244422316,"Hspd1",15510,"co_binding_RNA"
"33869",33869,"ENSMUSG00000045336",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"Hsfy2",71066,"co_binding_RNA"
"22730",22730,"ENSMUSG00000041040",892,915,976,856,925,738,0.723715947,0.75643695,0.786024521,0.681834182,0.750490191,0.703358025,895.1229289,0.12304292,0.073867539,1.66572383,0.095768433,0.444483687,"Fam117b",72750,"co_binding_RNA"
"12316",12316,"ENSMUSG00000026219",5354,5120,5369,5598,5598,4950,1.430066328,1.393465203,1.423489301,1.467953928,1.495239317,1.553101399,5036.48547,-0.050320588,0.047073225,-1.06898534,0.285076275,0.690023766,"Trip12",14897,"co_binding_RNA"
"29139",29139,"ENSMUSG00000026220",1,0,0,0,0,0,0.001718013,0,0,0,0,0,0.09776859,0.936582435,4.080455872,0.229528872,0.818457883,NA,"Slc16a14",71781,"co_binding_RNA"
"11552",11552,"ENSMUSG00000089844",144,150,119,135,168,124,0.473258133,0.502313912,0.388208951,0.435583159,0.552134489,0.478711739,139.5296889,-0.067676483,0.153791607,-0.440053166,0.659898601,0.903185483,"A530032D15Rik",381287,"co_binding_RNA"
"22053",22053,"ENSMUSG00000070034",3075,2611,2421,2611,2643,2184,1.727534902,1.49464115,1.350079953,1.440092203,1.484837315,1.441289231,2711.907054,0.103936457,0.078211511,1.328915095,0.183875983,0.586754158,"Sp110",109032,"co_binding_RNA"
"22654",22654,"ENSMUSG00000026234",49143,49426,50139,43941,47499,42953,21.81329154,22.35441745,22.09114345,19.14834273,21.08356296,22.39596801,43270.75438,0.120840973,0.056866287,2.125002004,0.033586446,0.260840698,"Ncl",17975,"co_binding_RNA"
"20052",20052,"ENSMUSG00000026238",107159,104283,100975,101596,109458,85690,201.7224672,200.0264782,188.678524,187.7603757,206.0502414,189.4840068,96336.78598,0.055414466,0.056037819,0.988876208,0.322723712,0.723282279,"Ptma",19231,"co_binding_RNA"
"23283",23283,"ENSMUSG00000026280",778,777,903,767,773,654,0.415827878,0.4231588,0.479076364,0.40246775,0.413155462,0.410609082,784.2860582,0.141928648,0.075020043,1.891876387,0.058507453,0.352029759,"Atg4b",66615,"co_binding_RNA"
