"","fold_change","cluster","log_mean"
"11",4.22532,"co_binding",2.07906060646722
"9336",3.45995,"co_binding",1.79075118951713
"30",4.24022,"co_binding",2.08413911966466
"9351",3.55499,"co_binding",1.82984550162508
"36",6.02255,"co_binding",2.59037446595691
"9356",6.10755,"co_binding",2.61059376929184
"44",5.99556,"co_binding",2.58389451118602
"9362",4.53387,"co_binding",2.1807430251669
"49",4.01575,"co_binding",2.00566945728997
"9366",4.37602,"co_binding",2.12961933178561
"61",6.61049,"co_binding",2.72475721490532
"9379",5.00289,"co_binding",2.32276173172315
"99",9.30757,"co_binding",3.21840456128072
"100",3.4219,"co_binding",1.77479759980041
"9408",11.21331,"co_binding",3.48714029771533
"107",8.16541,"co_binding",3.02952532793225
"9415",7.13992,"co_binding",2.8359079095135
"108",1.93034,"co_binding",0.948854978639923
"109",2.60633,"co_binding",1.38201976204198
"110",1.77673,"co_binding",0.829224459500107
"9416",1.569,"co_binding",0.64984535230601
"9417",1.96978,"co_binding",0.978034507533042
"9418",1.93414,"co_binding",0.951692226043103
"9419",1.53406,"co_binding",0.617354910487284
"9420",1.68897,"co_binding",0.756143702777778
"127",10.32873,"co_binding",3.36859096909609
"9432",9.8612,"co_binding",3.30176321746614
"129",3.93329,"co_binding",1.97573655956786
"130",5.20096,"co_binding",2.37877794237104
"131",3.25482,"co_binding",1.702577760814
"132",3.61253,"co_binding",1.85300956842204
"133",7.72345,"co_binding",2.94924543118079
"9434",4.8801,"co_binding",2.28691071090823
"9435",3.74367,"co_binding",1.90445326869636
"9436",3.77392,"co_binding",1.91606384084335
"9437",7.37376,"co_binding",2.88240046058083
"155",4.2734,"co_binding",2.09538436289022
"9449",3.6264,"co_binding",1.85853806633654
"165",3.07465,"co_binding",1.62042219191428
"9457",3.59583,"co_binding",1.84632481619319
"170",3.89496,"co_binding",1.96160851234395
"9461",3.43949,"co_binding",1.78219466114317
"180",7.3932,"co_binding",2.88619894148639
"9466",7.51211,"co_binding",2.90921818856312
"191",7.80193,"co_binding",2.96383105436018
"9477",6.7251,"co_binding",2.74955572022413
"197",4.61197,"co_binding",2.2053831285595
"198",3.02402,"co_binding",1.5964676811613
"199",3.4219,"co_binding",1.77479759980041
"9482",3.43949,"co_binding",1.78219466114317
"9483",3.44449,"co_binding",1.78429038962376
"235",2.7917,"co_binding",1.48114391584322
"9516",4.30719,"co_binding",2.10674696556069
"294",5.41803,"co_binding",2.43776838186245
"9555",5.81166,"co_binding",2.53895030333862
"304",2.84894,"co_binding",1.51042523815388
"305",6.18649,"co_binding",2.62912110639412
"9564",4.8801,"co_binding",2.28691071090823
"306",3.37043,"co_binding",1.75293266241401
"307",3.35616,"co_binding",1.74681149578494
"308",3.32765,"co_binding",1.7345036997596
"9565",3.6264,"co_binding",1.85853806633654
"9566",3.04302,"co_binding",1.6055038158788
"310",1.76625,"co_binding",0.820689560559215
"311",2.18579,"co_binding",1.12815480059268
"9568",1.67348,"co_binding",0.742851309271688
"9569",2.07327,"co_binding",1.05190800949896
"9570",1.76313,"co_binding",0.818138852106119
"314",4.77816,"co_binding",2.25645516424668
"315",2.3402,"co_binding",1.22663183180789
"9572",4.1655,"co_binding",2.05848967787791
"316",5.2901,"co_binding",2.40329499419951
"317",3.68957,"co_binding",1.88345268755506
"9573",5.52382,"co_binding",2.46566630849198
"318",5.53436,"co_binding",2.46841649167507
"319",3.68957,"co_binding",1.88345268755506
"9574",5.00289,"co_binding",2.32276173172315
"9575",3.28315,"co_binding",1.71508066502285
"320",2.97506,"co_binding",1.57291876449775
"321",3.29869,"co_binding",1.72189320455429
"9576",2.54442,"co_binding",1.34733683174833
"9577",2.93788,"co_binding",1.55477546909346
"339",2.20089,"co_binding",1.13808704144926
"9591",6.87897,"co_binding",2.78219256389025
"355",6.84958,"co_binding",2.77601552814704
"356",6.30322,"co_binding",2.65608901770117
"9604",5.81582,"co_binding",2.53998261844493
"9605",6.5428,"co_binding",2.70990817114027
"392",7.25443,"co_binding",2.85886226233075
"9627",8.96725,"co_binding",3.16466561952065
"394",7.23703,"co_binding",2.8553977520916
"9629",6.19586,"co_binding",2.63130454574342
"401",6.06976,"co_binding",2.6016394730452
"9636",3.94909,"co_binding",1.98152024728018
"423",3.42414,"co_binding",1.77574168923223
"424",4.38003,"co_binding",2.13094075126549
"9650",3.1694,"co_binding",1.66420974921185
"9651",4.93802,"co_binding",2.30393267970516
"448",3.21442,"co_binding",1.6845584456059
"449",3.86172,"co_binding",1.94924356323839
"9667",3.20418,"co_binding",1.67995519575321
"9668",3.09341,"co_binding",1.62919806063896
"9669",4.06783,"co_binding",2.02425938831987
"516",5.91964,"co_binding",2.56550944173142
