"","seqnames","start","end","width","strand","fold_change","negative_log10(pvalue)","SYMBOL","annotation","annotation_TSS"
"1","chr1",44990610,44992655,2046,"*",2.78109,3.73312,"4930521E06Rik","Intergenic","enhancer"
"2","chr1",45009048,45010207,1160,"*",2.41834,2.31801,"4930521E06Rik","Intergenic","enhancer"
"3","chr1",45012222,45013382,1161,"*",2.41834,2.31801,"4930521E06Rik","Intergenic","enhancer"
"4","chr1",56386491,56452248,65758,"*",7.49684,33.01295,"Hsfy2","Intergenic","enhancer"
"5","chr1",84996542,85008432,11891,"*",2.97464,12.03824,"Slc16a14","Exon","Exon"
"6","chr1",85010228,85589029,578802,"*",6.15637,144.85794,"A530032D15Rik","Promoter","TSS"
"7","chr1",85600055,85601324,1270,"*",1.56723,3.30213,"Sp140","Promoter","TSS"
"8","chr1",85605838,85619491,13654,"*",1.97042,8.45408,"Sp110","Promoter","TSS"
"9","chr1",139703367,139705109,1743,"*",2.66017,3.24187,"Gm4788","Intron","Intron"
"10","chr1",139708132,139713115,4984,"*",2.78109,3.73312,"Gm4788","Intron","Intron"
"11","chr1",139723671,139730354,6684,"*",3.02292,4.76866,"Gm4788","Intron","Intron"
"12","chr1",139750402,139753570,3169,"*",2.66017,3.24187,"Gm4788","Exon","Exon"
"13","chr1",139754677,139798592,43916,"*",3.74842,8.27788,"Gm4788","Promoter","TSS"
"14","chr1",139800664,139818107,17444,"*",2.902,4.24314,"Gm4788","Exon","Exon"
"15","chr1",139836759,139838051,1293,"*",2.41834,2.31801,"Cfhr2","Intron","Intron"
"16","chr1",139891503,139895569,4067,"*",2.902,4.24314,"Cfhr2","Exon","Exon"
"17","chr1",139902069,139905516,3448,"*",2.902,4.24314,"Cfhr2","Intron","Intron"
"18","chr1",139914748,139916705,1958,"*",2.902,4.24314,"Cfhr2","Exon","Exon"
"19","chr1",139921523,139923571,2049,"*",2.66017,3.24187,"Cfhr2","Intron","Intron"
"20","chr1",139925465,139926700,1236,"*",2.78109,3.73312,"Cfhr2","Intron","Intron"
"21","chr1",139928872,139930299,1428,"*",2.66017,3.24187,"Cfhr2","Intron","Intron"
"22","chr1",151198548,151206293,7746,"*",1.84883,2.4638,"C730036E19Rik","Intergenic","enhancer"
"23","chr1",166002270,166003372,1103,"*",3.38567,6.45149,"Pou2f1","Promoter","TSS"
"24","chr1",171067086,171070215,3130,"*",2.52718,13.55746,"Mir6546","Promoter","TSS"
"25","chr1",171071696,171079627,7932,"*",1.87768,9.51187,"Mir6546","Exon","Exon"
"26","chr1",173775891,173949047,173157,"*",6.33677,34.24163,"Mndal","Promoter","TSS"
"27","chr1",173953497,173955351,1855,"*",2.2097,2.31801,"Ifi203","Intergenic","enhancer"
"28","chr1",180813148,180814342,1195,"*",2.7345,3.92905,"H3f3a","Promoter","TSS"
"29","chr10",7307424,7309504,2081,"*",2.41834,2.31801,"Cnksr3","Intergenic","enhancer"
"30","chr10",7312670,7321390,8721,"*",2.902,4.24314,"Cnksr3","Intergenic","enhancer"
"31","chr10",7328078,7330866,2789,"*",2.66017,3.24187,"Cnksr3","Intergenic","enhancer"
"32","chr10",7332461,7334097,1637,"*",2.66017,3.24187,"Cnksr3","Intergenic","enhancer"
"33","chr10",57108391,57112025,3635,"*",2.78109,3.73312,"4930467K11Rik","Intergenic","enhancer"
"34","chr10",57115221,57116802,1582,"*",2.41834,2.31801,"4930467K11Rik","Intergenic","enhancer"
"35","chr10",57119111,57120288,1178,"*",2.66017,3.24187,"4930467K11Rik","Intergenic","enhancer"
"36","chr10",57121696,57139124,17429,"*",2.902,4.24314,"4930467K11Rik","Intergenic","enhancer"
"37","chr10",57140245,57141496,1252,"*",3.14384,5.31164,"4930467K11Rik","Intergenic","enhancer"
"38","chr10",57143062,57153065,10004,"*",2.55826,2.96898,"4930467K11Rik","Intergenic","enhancer"
"39","chr10",58225234,58232639,7406,"*",2.69604,36.32958,"Gm4981","Intergenic","Intergenic"
"40","chr10",58234950,58237973,3024,"*",1.90707,8.78736,"Gm4981","Promoter","TSS"
"41","chr10",91082227,91083372,1146,"*",4.353,11.59305,"Apaf1","Promoter","TSS"
"42","chr10",100332406,100340552,8147,"*",3.03629,6.90645,"Gm4312","Promoter","TSS"
"43","chr10",100376496,100380901,4406,"*",2.66017,3.24187,"Gm4312","Promoter","TSS"
"44","chr10",100344613,100346215,1603,"*",2.68449,3.93434,"Gm4303","Promoter","TSS"
"45","chr10",100349635,100360475,10841,"*",1.64261,3.12338,"Gm4303","Promoter","TSS"
"46","chr11",3204837,3206257,1421,"*",2.373,3.70079,"Eif4enif1","Promoter","TSS"
"47","chr11",3207538,3237976,30439,"*",3.86934,8.91406,"Eif4enif1","Promoter","TSS"
"48","chr11",3239383,3265039,25657,"*",2.63979,3.94664,"Drg1","Promoter","TSS"
"49","chr11",3266234,3272890,6657,"*",2.07637,2.17157,"Drg1","Promoter","TSS"
"50","chr11",3279693,3281996,2304,"*",2.902,4.24314,"Patz1","Intergenic","enhancer"
"51","chr11",3289116,3290786,1671,"*",2.39799,4.04641,"Patz1","Promoter","TSS"
"52","chr11",3305844,3307940,2097,"*",2.47143,2.59684,"Gm11944","Promoter","TSS"
"53","chr11",3309085,3310171,1087,"*",2.31754,2.30513,"Gm11944","Promoter","TSS"
"54","chr11",40733121,40734213,1093,"*",3.02292,4.76866,"Hmmr","Promoter","TSS"
"55","chr11",40910861,40961213,50353,"*",3.26475,5.87301,"Ccng1","Intergenic","enhancer"
"56","chr11",60567407,60689332,121926,"*",4.46238,40.69239,"Llgl1","Intergenic","enhancer"
"57","chr11",82999142,83004810,5669,"*",3.6275,7.6524,"Slfn9","Exon","Exon"
"58","chr11",83006007,83007888,1882,"*",2.66017,3.24187,"Slfn8","Intron","Intron"
"59","chr11",83011307,83014295,2989,"*",2.37474,2.58426,"Slfn8","Exon","Exon"
"60","chr11",83016635,83022600,5966,"*",3.18197,7.46909,"Slfn8","Promoter","TSS"
"61","chr11",94778197,94864997,86801,"*",7.85959,35.83845,"Gm11544","Promoter","TSS"
"62","chr12",3061478,3104871,43394,"*",3.50659,7.04453,"Rab10os","Intergenic","enhancer"
"63","chr12",3115088,3334949,219862,"*",6.40859,24.92968,"Rab10","Promoter","TSS"
"64","chr12",17790327,21098151,3307825,"*",48.48763,526.16052,"5730507C01Rik","Promoter","TSS"
"65","chr12",21629569,24350976,2721408,"*",47.5184,602.09778,"Gm4425","Promoter","TSS"
"66","chr12",24363195,24366003,2809,"*",3.14384,5.31164,"Taf1b","Intergenic","enhancer"
"67","chr12",26055505,26159651,104147,"*",5.92042,22.34659,"Gm29687","Exon","Exon"
"68","chr12",46618764,46638575,19812,"*",3.38567,6.45149,"Nova1","Intergenic","enhancer"
"69","chr12",87542472,87545637,3166,"*",2.32106,2.66726,"Gm8300","Intergenic","enhancer"
