"","seqnames","start","end","width","strand","fold_change","negative_log10(pvalue)","SYMBOL","annotation","annotation_TSS"
"1","chr1",4857370,4858308,"*","H3K27ac_1_peak_1",5.79962,24.22425,"Tcea1","Promoter","TSS"
"2","chr1",6214234,6215395,"*","H3K27ac_1_peak_2",4.11136,12.70281,"Rb1cc1","Promoter","TSS"
"3","chr1",9545499,9546577,"*","H3K27ac_1_peak_3",6.14929,18.41534,"Rrs1","Promoter","TSS"
"4","chr1",9942628,9944077,"*","H3K27ac_1_peak_6",5.95163,28.53652,"Snhg6","Promoter","TSS"
"5","chr1",10232128,10233493,"*","H3K27ac_1_peak_7",9.5883,42.14207,"Arfgef1","Promoter","TSS"
"6","chr1",13151475,13153471,"*","H3K27ac_1_peak_8",3.03137,5.38386,"Prdm14","Exon","Exon"
"7","chr1",13154323,13155046,"*","H3K27ac_1_peak_9",2.85798,3.34132,"Prdm14","Intron","Intron"
"8","chr1",13155695,13156492,"*","H3K27ac_1_peak_10",3.15161,5.5602,"Prdm14","Exon","Exon"
"9","chr1",13159464,13160248,"*","H3K27ac_1_peak_11",4.62253,11.11142,"Prdm14","Exon","Exon"
"10","chr1",13162010,13163225,"*","H3K27ac_1_peak_12",3.7747,12.90076,"Prdm14","Exon","Exon"
"11","chr1",13372863,13374772,"*","H3K27ac_1_peak_13",4.22532,13.44081,"Ncoa2","Promoter","TSS"
"12","chr1",16103474,16106365,"*","H3K27ac_1_peak_15",2.28132,4.75047,"Rpl7","Promoter","TSS"
"13","chr1",18478984,18480057,"*","H3K27ac_1_peak_17",3.84331,6.98923,"Defb41","Intergenic","enhancer"
"14","chr1",20890179,20890878,"*","H3K27ac_1_peak_18",2.86913,3.87222,"Paqr8","Promoter","TSS"
"15","chr1",20914498,20915346,"*","H3K27ac_1_peak_19",2.47402,2.30696,"Paqr8","Promoter","TSS"
"16","chr1",20925133,20925765,"*","H3K27ac_1_peak_20",3.07465,4.00953,"Paqr8","Intron","Intron"
"17","chr1",20926729,20929696,"*","H3K27ac_1_peak_21",4.89256,16.2653,"Paqr8","Intron","Intron"
"18","chr1",20932319,20933010,"*","H3K27ac_1_peak_22",2.26129,2.02022,"Paqr8","Intron","Intron"
"19","chr1",21960179,21962537,"*","H3K27ac_1_peak_28",6.97331,24.41986,"Kcnq5","Promoter","TSS"
"20","chr1",30873014,30874293,"*","H3K27ac_1_peak_30",8.45528,32.43433,"Phf3","Promoter","TSS"
"21","chr1",30948585,30950316,"*","H3K27ac_1_peak_31",8.56073,40.37987,"Ptp4a1","Promoter","TSS"
"22","chr1",33756747,33758045,"*","H3K27ac_1_peak_33",7.68661,27.53658,"Bag2","Promoter","TSS"
"23","chr1",36127993,36130815,"*","H3K27ac_1_peak_40",6.14929,18.41534,"Mir6897","Intergenic","enhancer"
"24","chr1",36131503,36132319,"*","H3K27ac_1_peak_41",3.84331,6.98923,"Mir6897","Intergenic","enhancer"
"25","chr1",36270396,36271163,"*","H3K27ac_1_peak_42",2.54369,3.42978,"Neurl3","Promoter","TSS"
"26","chr1",36292651,36294452,"*","H3K27ac_1_peak_43",4.9436,12.33417,"Arid5a","Intergenic","enhancer"
"27","chr1",36304631,36305274,"*","H3K27ac_1_peak_44",2.60064,2.73586,"Arid5a","Promoter","TSS"
"28","chr1",36306884,36309628,"*","H3K27ac_1_peak_45",6.91795,22.85605,"Arid5a","Promoter","TSS"
"29","chr1",36311264,36312007,"*","H3K27ac_1_peak_46",3.45476,5.98475,"Arid5a","Exon","Exon"
"30","chr1",36555588,36558177,"*","H3K27ac_1_peak_49",4.24022,12.03009,"Sema4c","Promoter","TSS"
"31","chr1",36691049,36692258,"*","H3K27ac_1_peak_50",7.22542,24.69941,"Cox5b","Promoter","TSS"
"32","chr1",36874243,36875471,"*","H3K27ac_1_peak_52",4.15077,8.31958,"Tmem131","Intron","Intron"
"33","chr1",36938804,36939553,"*","H3K27ac_1_peak_53",5.56974,23.68064,"Tmem131","Promoter","TSS"
"34","chr1",37429540,37430545,"*","H3K27ac_1_peak_54",5.59612,22.62004,"Unc50","Promoter","TSS"
"35","chr1",37997455,37998702,"*","H3K27ac_1_peak_55",5.69787,23.41861,"Eif5b","Promoter","TSS"
"36","chr1",38128866,38130392,"*","H3K27ac_1_peak_56",6.02255,19.70687,"Rev1","Promoter","TSS"
"37","chr1",38407063,38408845,"*","H3K27ac_1_peak_57",3.83253,7.72996,"Aff3","Intron","Intron"
"38","chr1",38664553,38665312,"*","H3K27ac_1_peak_58",4.61197,10.43801,"Aff3","Promoter","TSS"
"39","chr1",38694521,38695199,"*","H3K27ac_1_peak_59",2.92091,3.475,"Aff3","Intergenic","enhancer"
"40","chr1",39367408,39369796,"*","H3K27ac_1_peak_61",9.56428,58.53154,"Rpl31","Promoter","TSS"
"41","chr1",39576605,39577291,"*","H3K27ac_1_peak_62",5.95304,22.36399,"Rnf149","Promoter","TSS"
"42","chr1",43518873,43520563,"*","H3K27ac_1_peak_65",3.68957,6.35049,"Nck2","Intron","Intron"
"43","chr1",46852682,46854059,"*","H3K27ac_1_peak_67",7.5595,29.64592,"Slc39a10","Promoter","TSS"
"44","chr1",52232135,52233627,"*","H3K27ac_1_peak_69",5.99556,17.55964,"Gls","Promoter","TSS"
"45","chr1",52499907,52500903,"*","H3K27ac_1_peak_70",5.5449,20.86871,"Nab1","Promoter","TSS"
"46","chr1",55026735,55027926,"*","H3K27ac_1_peak_76",6.76422,21.9479,"Sf3b1","Promoter","TSS"
"47","chr1",55028633,55029362,"*","H3K27ac_1_peak_77",2.80143,4.00953,"Sf3b1","Promoter","TSS"
"48","chr1",55052327,55053185,"*","H3K27ac_1_peak_78",6.77012,28.36767,"Coq10b","Promoter","TSS"
"49","chr1",55086968,55088877,"*","H3K27ac_1_peak_79",4.01575,12.05622,"Hspd1","Promoter","TSS"
"50","chr1",56386494,56452248,"*","H3K27ac_1_peak_81",3.80532,9.4462,"Hsfy2","Intergenic","enhancer"
"51","chr1",57405760,57407104,"*","H3K27ac_1_peak_82",3.68957,6.35049,"Maip1","Promoter","TSS"
"52","chr1",58391989,58393774,"*","H3K27ac_1_peak_84",5.02001,22.70972,"Bzw1","Promoter","TSS"
"53","chr1",58711266,58712227,"*","H3K27ac_1_peak_86",7.3405,26.00866,"Cflar","Promoter","TSS"
"54","chr1",58713348,58715817,"*","H3K27ac_1_peak_87",7.93973,29.82518,"Cflar","Promoter","TSS"
"55","chr1",58795571,58796397,"*","H3K27ac_1_peak_88",6.53748,21.7248,"Casp8","Promoter","TSS"
"56","chr1",58802021,58803438,"*","H3K27ac_1_peak_89",3.99704,7.6461,"Casp8","Promoter","TSS"
"57","chr1",58972875,58973967,"*","H3K27ac_1_peak_90",4.45824,9.71709,"Stradb","Promoter","TSS"
"58","chr1",59236834,59237672,"*","H3K27ac_1_peak_91",6.57005,23.16046,"Als2","Promoter","TSS"
"59","chr1",59670112,59671439,"*","H3K27ac_1_peak_92",11.90822,63.06042,"Sumo1","Promoter","TSS"
"60","chr1",59684490,59686172,"*","H3K27ac_1_peak_93",10.4538,46.04199,"Nop58","Promoter","TSS"
"61","chr1",59912551,59913892,"*","H3K27ac_1_peak_95",6.61049,21.04856,"Fam117b","Promoter","TSS"
"62","chr1",63113199,63114073,"*","H3K27ac_1_peak_97",5.95448,24.01521,"Ino80d","Promoter","TSS"
"63","chr1",63177184,63178147,"*","H3K27ac_1_peak_98",4.43686,16.71652,"Eef1b2","Promoter","TSS"
"64","chr1",64118550,64122589,"*","H3K27ac_1_peak_100",6.91795,22.85605,"Klf7","Promoter","TSS"
"65","chr1",64300979,64302065,"*","H3K27ac_1_peak_101",5.84183,16.71652,"Klf7","Intergenic","enhancer"
"66","chr1",64302754,64303510,"*","H3K27ac_1_peak_102",3.22838,4.56464,"Klf7","Intergenic","enhancer"
"67","chr1",64531963,64533750,"*","H3K27ac_1_peak_103",5.06749,19.73383,"Creb1","Promoter","TSS"
"68","chr1",64616670,64617757,"*","H3K27ac_1_peak_104",8.91647,35.46824,"Mettl21a","Promoter","TSS"
"69","chr1",66816326,66817498,"*","H3K27ac_1_peak_111",3.48162,10.16084,"Kansl1l","Promoter","TSS"
"70","chr1",69440898,69441954,"*","H3K27ac_1_peak_112",4.15077,8.31958,"Ikzf2","Intergenic","enhancer"
"71","chr1",69458897,69459814,"*","H3K27ac_1_peak_113",3.07465,4.00953,"Ikzf2","Intergenic","enhancer"
"72","chr1",69497826,69499717,"*","H3K27ac_1_peak_114",2.68378,4.45003,"Ikzf2","Intergenic","enhancer"
"73","chr1",69506047,69507321,"*","H3K27ac_1_peak_115",4.3045,9.01097,"Ikzf2","Intergenic","enhancer"
"74","chr1",69512123,69514156,"*","H3K27ac_1_peak_116",4.14571,9.15277,"Ikzf2","Intergenic","enhancer"
"75","chr1",69653589,69656212,"*","H3K27ac_1_peak_117",4.23925,10.87004,"Ikzf2","Intron","Intron"
"76","chr1",69684782,69687968,"*","H3K27ac_1_peak_118",5.39302,14.67115,"Ikzf2","Promoter","TSS"
"77","chr1",72243572,72246520,"*","H3K27ac_1_peak_120",6.89108,23.24108,"D230017M19Rik","Promoter","TSS"
"78","chr1",72247825,72249127,"*","H3K27ac_1_peak_121",2.60064,2.73586,"D230017M19Rik","Intron","Intron"
"79","chr1",72251043,72255672,"*","H3K27ac_1_peak_122",3.6966,8.82979,"D230017M19Rik","Intron","Intron"
"80","chr1",72710405,72713028,"*","H3K27ac_1_peak_123",5.02001,22.70972,"Rpl37a","Promoter","TSS"
"81","chr1",73936367,73937537,"*","H3K27ac_1_peak_125",4.50321,11.38636,"Tns1","Promoter","TSS"
"82","chr1",74015383,74017255,"*","H3K27ac_1_peak_126",2.55973,4.16641,"Tns1","Exon","Exon"
"83","chr1",74226644,74227871,"*","H3K27ac_1_peak_129",3.84331,6.98923,"Arpc2","Intergenic","enhancer"
"84","chr1",74236050,74240677,"*","H3K27ac_1_peak_130",6.18573,40.66409,"Arpc2","Promoter","TSS"
"85","chr1",74248168,74251192,"*","H3K27ac_1_peak_131",6.57005,23.16046,"Arpc2","Exon","Exon"
"86","chr1",74386840,74387933,"*","H3K27ac_1_peak_134",3.25748,5.66819,"Ctdsp1","Intergenic","enhancer"
"87","chr1",74389399,74390459,"*","H3K27ac_1_peak_135",2.96598,4.82665,"Ctdsp1","Promoter","TSS"
"88","chr1",74391794,74392828,"*","H3K27ac_1_peak_136",4.49381,15.40119,"Ctdsp1","Promoter","TSS"
"89","chr1",74505487,74506992,"*","H3K27ac_1_peak_137",10.85554,63.17963,"Usp37","Promoter","TSS"
"90","chr1",75210447,75213074,"*","H3K27ac_1_peak_140",5.02001,22.70972,"Stk16","Promoter","TSS"
"91","chr1",75236049,75236860,"*","H3K27ac_1_peak_142",7.86658,31.14026,"Dnajb2","Promoter","TSS"
"92","chr1",75316488,75317397,"*","H3K27ac_1_peak_143",6.41994,25.7446,"Dnpep","Promoter","TSS"
"93","chr1",75520686,75521950,"*","H3K27ac_1_peak_145",6.14929,18.41534,"Stk11ip","Promoter","TSS"
"94","chr1",79670883,79671918,"*","H3K27ac_1_peak_147",4.86951,19.25072,"Ap1s3","Promoter","TSS"
"95","chr1",80635511,80636475,"*","H3K27ac_1_peak_149",2.60936,3.475,"Dock10","Intron","Intron"
"96","chr1",80637355,80639033,"*","H3K27ac_1_peak_150",3.84331,6.98923,"Dock10","Intron","Intron"
"97","chr1",80641509,80647331,"*","H3K27ac_1_peak_151",5.6881,15.88386,"Dock10","Exon","Exon"
"98","chr1",82316107,82317470,"*","H3K27ac_1_peak_152",7.33789,44.05822,"Rhbdd1","Promoter","TSS"
"99","chr1",84837907,84840578,"*","H3K27ac_1_peak_155",9.30757,42.39475,"Trip12","Promoter","TSS"
"100","chr1",84864161,84865481,"*","H3K27ac_1_peak_156",3.4219,5.89447,"Trip12","Intron","Intron"
"101","chr1",84909228,84909991,"*","H3K27ac_1_peak_157",2.76718,2.96142,"Slc16a14","Intron","Intron"
"102","chr1",84912066,84913197,"*","H3K27ac_1_peak_158",2.8744,3.71221,"Slc16a14","Exon","Exon"
"103","chr1",84936655,84937713,"*","H3K27ac_1_peak_159",2.72951,3.49687,"Slc16a14","Promoter","TSS"
"104","chr1",84957244,84959223,"*","H3K27ac_1_peak_160",2.53484,5.86564,"Slc16a14","Intergenic","enhancer"
"105","chr1",84967868,84978727,"*","H3K27ac_1_peak_161",2.29947,4.39339,"Slc16a14","Intergenic","enhancer"
"106","chr1",84979793,84982298,"*","H3K27ac_1_peak_162",2.05818,3.27275,"Slc16a14","Intergenic","enhancer"
"107","chr1",84982936,85590877,"*","H3K27ac_1_peak_163",8.16541,186.86656,"A530032D15Rik","Promoter","TSS"
"108","chr1",85591678,85604333,"*","H3K27ac_1_peak_164",1.93034,10.81161,"Sp110","Promoter","TSS"
"109","chr1",85605528,85613449,"*","H3K27ac_1_peak_165",2.60633,13.56188,"Sp110","Promoter","TSS"
"110","chr1",85614188,85619399,"*","H3K27ac_1_peak_166",1.77673,3.66547,"Sp110","Exon","Exon"
"111","chr1",85735111,85736579,"*","H3K27ac_1_peak_168",5.31469,14.81555,"A630001G21Rik","Promoter","TSS"
"112","chr1",85793514,85794366,"*","H3K27ac_1_peak_170",4.78383,15.53427,"Cab39","Promoter","TSS"
"113","chr1",86063760,86065528,"*","H3K27ac_1_peak_172",4.1481,13.70459,"Psmd1","Promoter","TSS"
