"","seqnames","start","end","width","strand","fold_change","negative_log10(pvalue)","SYMBOL","annotation","annotation_TSS"
"1","chr1",4784322,4785677,1356,"*",4.92332,15.79196,"Mrpl15","Promoter","TSS"
"2","chr1",4856864,4858721,1858,"*",10.29783,77.77504,"Tcea1","Promoter","TSS"
"3","chr1",6214029,6215305,1277,"*",5.45316,27.83168,"Rb1cc1","Promoter","TSS"
"4","chr1",7088358,7089506,1149,"*",4.12185,10.85617,"Pcmtd1","Promoter","TSS"
"5","chr1",7396453,7398718,2266,"*",4.92332,15.79196,"Pcmtd1","Exon","Exon"
"6","chr1",9544919,9546659,1741,"*",7.85424,40.90991,"Rrs1","Promoter","TSS"
"7","chr1",9699515,9701332,1818,"*",6.60778,36.37804,"Mybl1","Promoter","TSS"
"8","chr1",9745469,9748361,2893,"*",6.70459,44.58753,"1700034P13Rik","Promoter","TSS"
"9","chr1",9797751,9798829,1079,"*",4.23844,24.7643,"Sgk3","Promoter","TSS"
"10","chr1",10038910,10040154,1245,"*",12.29533,98.17029,"Cspp1","Promoter","TSS"
"11","chr1",10231944,10233630,1687,"*",9.11167,54.33692,"Arfgef1","Promoter","TSS"
"12","chr1",13372079,13374872,2794,"*",4.63766,25.46926,"Ncoa2","Promoter","TSS"
"13","chr1",13659620,13661037,1418,"*",9.94475,69.91327,"Lactb2","Promoter","TSS"
"14","chr1",16103529,16106476,2948,"*",4.97107,37.55973,"Rpl7","Promoter","TSS"
"15","chr1",16617971,16619798,1828,"*",7.87182,68.8566,"Ube2w","Promoter","TSS"
"16","chr1",16655450,16656874,1425,"*",5.21282,26.60875,"Eloc","Promoter","TSS"
"17","chr1",20890155,20891671,1517,"*",3.6177,11.54246,"Paqr8","Promoter","TSS"
"18","chr1",21078409,21080512,2104,"*",4.62105,23.10461,"Tram2","Promoter","TSS"
"19","chr1",21959755,21964085,4331,"*",7.92796,45.35378,"Kcnq5","Promoter","TSS"
"20","chr1",23921633,23923629,1997,"*",8.15245,52.68433,"Smap1","Promoter","TSS"
"21","chr1",24677959,24679647,1689,"*",4.28463,17.03721,"Lmbrd1","Promoter","TSS"
"22","chr1",30873020,30874323,1304,"*",7.54573,44.12233,"Phf3","Promoter","TSS"
"23","chr1",30948103,30950267,2165,"*",6.95104,39.85871,"Ptp4a1","Promoter","TSS"
"24","chr1",33669400,33670780,1381,"*",6.69959,40.91173,"Prim2","Promoter","TSS"
"25","chr1",33756788,33758152,1365,"*",9.84665,54.99839,"Bag2","Promoter","TSS"
"26","chr1",34437108,34441194,4087,"*",5.92209,26.83253,"Imp4","Promoter","TSS"
"27","chr1",34472386,34474323,1938,"*",4.0742,21.3681,"Ptpn18","Promoter","TSS"
"28","chr1",34841738,34843455,1718,"*",3.83837,12.77208,"Fam168b","Promoter","TSS"
"29","chr1",34849997,34852037,2041,"*",5.21436,24.06262,"Plekhb2","Promoter","TSS"
"30","chr1",36065382,36066462,1081,"*",2.383,3.79864,"Hs6st1","Promoter","TSS"
"31","chr1",36067795,36071012,3218,"*",5.6347,32.2655,"Hs6st1","Promoter","TSS"
"32","chr1",36127094,36130341,3248,"*",5.6103,20.41426,"Mir6897","Intergenic","enhancer"
"33","chr1",36131452,36132541,1090,"*",4.82294,15.44428,"Mir6897","Intergenic","enhancer"
"34","chr1",36243395,36244893,1499,"*",9.04069,59.72067,"Uggt1","Promoter","TSS"
"35","chr1",36260656,36263274,2619,"*",4.35084,12.21272,"Neurl3","Intergenic","Intergenic"
"36","chr1",36273065,36276066,3002,"*",2.46186,6.75465,"Neurl3","Promoter","TSS"
"37","chr1",36293937,36295266,1330,"*",4.69433,14.33108,"Arid5a","Intergenic","enhancer"
"38","chr1",36306034,36310391,4358,"*",8.7067,50.35163,"Arid5a","Promoter","TSS"
"39","chr1",36367777,36369090,1314,"*",4.04279,23.68492,"Kansl3","Promoter","TSS"
"40","chr1",36443421,36447664,4244,"*",10.42564,90.90897,"Lman2l","Promoter","TSS"
"41","chr1",36470928,36473762,2835,"*",7.41336,42.51666,"Cnnm4","Promoter","TSS"
"42","chr1",36511903,36513136,1234,"*",6.32331,35.43695,"Cnnm3","Promoter","TSS"
"43","chr1",36555631,36558783,3153,"*",6.89547,54.51792,"Sema4c","Promoter","TSS"
"44","chr1",36691007,36693319,2313,"*",6.82383,30.93153,"Cox5b","Promoter","TSS"
"45","chr1",36938734,36940379,1646,"*",4.45459,23.42041,"Tmem131","Promoter","TSS"
"46","chr1",37428813,37431354,2542,"*",5.70603,33.04978,"Unc50","Promoter","TSS"
"47","chr1",37476638,37478384,1747,"*",2.2312,2.5585,"4930594C11Rik","Intron","Intron"
"48","chr1",37540357,37541559,1203,"*",6.23807,31.14898,"Mgat4a","Promoter","TSS"
"49","chr1",37864443,37866127,1685,"*",6.75526,28.83208,"Tsga10","Promoter","TSS"
"50","chr1",37871741,37872874,1134,"*",3.31914,8.45703,"Lipt1","Promoter","TSS"
"51","chr1",37888738,37890920,2183,"*",4.12185,10.85617,"Mrpl30","Promoter","TSS"
"52","chr1",37996279,37998734,2456,"*",15.18611,121.95135,"Eif5b","Promoter","TSS"
"53","chr1",38128851,38131263,2413,"*",9.11092,52.62022,"Rev1","Promoter","TSS"
"54","chr1",38663040,38665613,2574,"*",5.26681,18.05898,"Aff3","Promoter","TSS"
"55","chr1",38987042,38989326,2285,"*",4.49171,17.99812,"Pdcl3","Promoter","TSS"
"56","chr1",39367942,39369688,1747,"*",8.49342,59.24001,"Rpl31","Promoter","TSS"
"57","chr1",39575592,39577979,2388,"*",6.9333,43.51907,"Rnf149","Promoter","TSS"
"58","chr1",43098127,43099607,1481,"*",8.93068,46.79614,"Tgfbrap1","Promoter","TSS"
"59","chr1",43445410,43447009,1600,"*",4.3115,19.55713,"Nck2","Promoter","TSS"
"60","chr1",43826472,43828429,1958,"*",7.50377,43.43005,"Uxs1","Promoter","TSS"
"61","chr1",43933226,43935286,2061,"*",13.51051,90.80969,"Tpp2","Promoter","TSS"
