"","seqnames","start","end","width","strand","fold_change","negative_log10(pvalue)","SYMBOL","annotation","annotation_TSS"
"1","chr1",6214245,6215293,"*","Phf23_1_peak_2",3.83876,12.48632,"Rb1cc1","Promoter","TSS"
"2","chr1",7397109,7398595,"*","Phf23_1_peak_3",3.48584,6.35077,"Pcmtd1","Exon","Exon"
"3","chr1",9545466,9546599,"*","Phf23_1_peak_4",9.25088,42.83229,"Rrs1","Promoter","TSS"
"4","chr1",9699848,9701066,"*","Phf23_1_peak_5",6.00899,25.10966,"Mybl1","Promoter","TSS"
"5","chr1",9747445,9748313,"*","Phf23_1_peak_6",4.41987,18.56913,"1700034P13Rik","Promoter","TSS"
"6","chr1",9942864,9944100,"*","Phf23_1_peak_7",5.23461,21.5848,"Snhg6","Promoter","TSS"
"7","chr1",10232065,10233434,"*","Phf23_1_peak_9",5.74347,21.67554,"Arfgef1","Promoter","TSS"
"8","chr1",13372179,13374824,"*","Phf23_1_peak_10",7.56449,31.20948,"Ncoa2","Promoter","TSS"
"9","chr1",16103584,16106403,"*","Phf23_1_peak_11",3.59678,16.97918,"Rpl7","Promoter","TSS"
"10","chr1",18478972,18480058,"*","Phf23_1_peak_12",3.49113,7.51893,"Defb41","Intergenic","enhancer"
"11","chr1",21960254,21962586,"*","Phf23_1_peak_15",6.6444,28.4065,"Kcnq5","Promoter","TSS"
"12","chr1",30872903,30874306,"*","Phf23_1_peak_16",7.23982,28.16413,"Phf3","Promoter","TSS"
"13","chr1",30948556,30950239,"*","Phf23_1_peak_17",7.50217,31.49467,"Ptp4a1","Promoter","TSS"
"14","chr1",34437690,34440254,"*","Phf23_1_peak_20",7.37947,36.45854,"Imp4","Promoter","TSS"
"15","chr1",36067909,36069898,"*","Phf23_1_peak_23",3.93337,15.04432,"Hs6st1","Promoter","TSS"
"16","chr1",36293297,36294445,"*","Phf23_1_peak_26",3.61991,6.95591,"Arid5a","Intergenic","enhancer"
"17","chr1",36307708,36309630,"*","Phf23_1_peak_27",8.23377,36.58584,"Arid5a","Promoter","TSS"
"18","chr1",36511897,36513064,"*","Phf23_1_peak_31",7.71804,38.81924,"Cnnm3","Promoter","TSS"
"19","chr1",36555615,36558223,"*","Phf23_1_peak_33",5.11328,23.93201,"Sema4c","Promoter","TSS"
"20","chr1",37429540,37430847,"*","Phf23_1_peak_35",5.90357,24.29519,"Unc50","Promoter","TSS"
"21","chr1",37864495,37865650,"*","Phf23_1_peak_36",5.36283,16.14139,"Tsga10","Promoter","TSS"
"22","chr1",37997593,37998703,"*","Phf23_1_peak_37",9.51257,59.55658,"Eif5b","Promoter","TSS"
"23","chr1",38128902,38130347,"*","Phf23_1_peak_38",7.01031,29.2845,"Rev1","Promoter","TSS"
"24","chr1",39367423,39368537,"*","Phf23_1_peak_39",5.549,22.883,"Rpl31","Promoter","TSS"
"25","chr1",39576394,39577311,"*","Phf23_1_peak_40",6.17065,25.73284,"Rnf149","Promoter","TSS"
"26","chr1",43445497,43446541,"*","Phf23_1_peak_42",3.99118,13.13074,"Nck2","Promoter","TSS"
"27","chr1",44119491,44120301,"*","Phf23_1_peak_44",3.88805,8.21676,"Bivm","Promoter","TSS"
"28","chr1",52232087,52233785,"*","Phf23_1_peak_46",5.30778,23.37527,"Gls","Promoter","TSS"
"29","chr1",52499772,52500903,"*","Phf23_1_peak_47",6.30132,21.92681,"Nab1","Promoter","TSS"
"30","chr1",54925504,54926371,"*","Phf23_1_peak_48",6.68608,35.37629,"Ankrd44","Promoter","TSS"
"31","chr1",55026204,55027938,"*","Phf23_1_peak_49",6.8376,25.4351,"Sf3b1","Promoter","TSS"
"32","chr1",55052355,55053218,"*","Phf23_1_peak_50",5.67309,22.98949,"Coq10b","Promoter","TSS"
"33","chr1",55086784,55089046,"*","Phf23_1_peak_51",6.16936,29.55071,"Hspd1","Promoter","TSS"
"34","chr1",56386490,56452248,"*","Phf23_1_peak_53",6.43539,22.79325,"Hsfy2","Intergenic","enhancer"
"35","chr1",58392819,58393848,"*","Phf23_1_peak_56",5.83234,30.88957,"Bzw1","Promoter","TSS"
"36","chr1",58711335,58712225,"*","Phf23_1_peak_58",5.85608,22.48758,"Cflar","Promoter","TSS"
"37","chr1",58713331,58714136,"*","Phf23_1_peak_59",6.8376,25.4351,"Cflar","Promoter","TSS"
"38","chr1",58795011,58796256,"*","Phf23_1_peak_60",5.72199,19.22096,"Casp8","Promoter","TSS"
"39","chr1",58801922,58803454,"*","Phf23_1_peak_61",3.88805,8.21676,"Casp8","Promoter","TSS"
"40","chr1",58972954,58974189,"*","Phf23_1_peak_62",7.37389,29.09054,"Stradb","Promoter","TSS"
"41","chr1",59670112,59671460,"*","Phf23_1_peak_65",8.3358,43.9084,"Sumo1","Promoter","TSS"
"42","chr1",59685017,59686141,"*","Phf23_1_peak_66",2.95493,5.55968,"Nop58","Promoter","TSS"
"43","chr1",59912546,59914569,"*","Phf23_1_peak_68",8.04424,33.83651,"Fam117b","Promoter","TSS"
"44","chr1",60097074,60098773,"*","Phf23_1_peak_69",5.68077,19.86977,"Carf","Promoter","TSS"
"45","chr1",63113020,63114314,"*","Phf23_1_peak_71",5.69273,22.67315,"Ino80d","Promoter","TSS"
"46","chr1",64119626,64122226,"*","Phf23_1_peak_74",5.63097,17.74633,"Klf7","Promoter","TSS"
"47","chr1",64302681,64303473,"*","Phf23_1_peak_75",2.68141,3.09768,"Klf7","Intergenic","enhancer"
"48","chr1",64531910,64533923,"*","Phf23_1_peak_76",4.20638,13.73505,"Creb1","Promoter","TSS"
"49","chr1",64616805,64617803,"*","Phf23_1_peak_77",7.10574,27.24563,"Mettl21a","Promoter","TSS"
"50","chr1",64689869,64691593,"*","Phf23_1_peak_78",2.76411,7.83816,"Ccnyl1","Promoter","TSS"
"51","chr1",65862515,65863516,"*","Phf23_1_peak_80",2.41327,2.17272,"Crygf","Intergenic","enhancer"
"52","chr1",65871214,65877544,"*","Phf23_1_peak_81",2.94955,4.10396,"Crygf","Intergenic","enhancer"
"53","chr1",65880106,65882030,"*","Phf23_1_peak_82",2.41327,2.17272,"Crygf","Intergenic","enhancer"
"54","chr1",65882839,65885424,"*","Phf23_1_peak_83",2.54734,2.62442,"Crygf","Intergenic","enhancer"
"55","chr1",65892578,65894405,"*","Phf23_1_peak_84",2.54734,2.62442,"Crygf","Intergenic","enhancer"
"56","chr1",65895404,65898823,"*","Phf23_1_peak_85",2.68141,3.09768,"Crygf","Intergenic","enhancer"
"57","chr1",65901014,65902315,"*","Phf23_1_peak_86",2.54734,2.62442,"Crygf","Intergenic","enhancer"
"58","chr1",65904200,65905694,"*","Phf23_1_peak_87",2.68141,3.09768,"Crygf","Intergenic","enhancer"
"59","chr1",65909688,65910497,"*","Phf23_1_peak_88",2.54734,2.62442,"Crygf","Intergenic","enhancer"
"60","chr1",65913162,65919334,"*","Phf23_1_peak_89",2.81548,3.59121,"Crygf","Intergenic","enhancer"
"61","chr1",65926930,65928196,"*","Phf23_1_peak_90",2.25234,2.02093,"Crygf","Promoter","TSS"
"62","chr1",65936433,65940894,"*","Phf23_1_peak_91",2.81548,3.59121,"Crygf","Intergenic","enhancer"
"63","chr1",65950056,66043104,"*","Phf23_1_peak_92",2.23706,2.84298,"Crygf","Intergenic","enhancer"
"64","chr1",66816438,66818076,"*","Phf23_1_peak_93",4.95331,23.50014,"Kansl1l","Promoter","TSS"
"65","chr1",69655270,69656066,"*","Phf23_1_peak_94",2.56656,3.53143,"Ikzf2","Intron","Intron"
"66","chr1",69686727,69687937,"*","Phf23_1_peak_95",9.51902,44.90322,"Ikzf2","Promoter","TSS"
"67","chr1",72243971,72246558,"*","Phf23_1_peak_96",4.96061,13.82758,"D230017M19Rik","Promoter","TSS"
"68","chr1",72247945,72249254,"*","Phf23_1_peak_97",2.86929,3.9061,"D230017M19Rik","Intron","Intron"
"69","chr1",72252076,72255651,"*","Phf23_1_peak_98",4.32226,12.99737,"D230017M19Rik","Intron","Intron"
"70","chr1",72710839,72712532,"*","Phf23_1_peak_99",3.91486,13.61745,"Rpl37a","Promoter","TSS"
"71","chr1",74236554,74238751,"*","Phf23_1_peak_100",6.13891,38.74209,"Arpc2","Promoter","TSS"
"72","chr1",74239736,74240709,"*","Phf23_1_peak_101",3.16233,7.24059,"Arpc2","Promoter","TSS"
"73","chr1",74284320,74286009,"*","Phf23_1_peak_102",10.21156,64.3922,"Aamp","Promoter","TSS"
"74","chr1",74505308,74506939,"*","Phf23_1_peak_106",10.51547,58.16242,"Usp37","Promoter","TSS"
"75","chr1",75191498,75192587,"*","Phf23_1_peak_111",2.72392,6.98775,"Atg9a","Promoter","TSS"
"76","chr1",75399065,75400440,"*","Phf23_1_peak_116",2.68675,4.95767,"Speg","Promoter","TSS"
"77","chr1",79671081,79671939,"*","Phf23_1_peak_119",5.27307,25.42848,"Ap1s3","Promoter","TSS"
"78","chr1",82839487,82840249,"*","Phf23_1_peak_123",3.85832,13.09376,"Agfg1","Promoter","TSS"
"79","chr1",84837593,84841273,"*","Phf23_1_peak_124",10.93537,59.06755,"Trip12","Promoter","TSS"
"80","chr1",84924931,84925847,"*","Phf23_1_peak_125",2.29648,2.02093,"Slc16a14","Intron","Intron"
"81","chr1",84933724,84935556,"*","Phf23_1_peak_126",2.89862,3.98552,"Slc16a14","Promoter","TSS"
"82","chr1",84967114,85584288,"*","Phf23_1_peak_127",6.62942,141.00316,"A530032D15Rik","Promoter","TSS"
"83","chr1",85598481,85601324,"*","Phf23_1_peak_128",1.524,3.8247,"Sp110","Promoter","TSS"
"84","chr1",85793453,85794482,"*","Phf23_1_peak_129",6.30385,29.2668,"Cab39","Promoter","TSS"
